Rarity,Name,Item Type,Description
Basic,Basic stew,Consumable,
Basic,Rusted Gear,Crafting,
Basic,CobbleStone,Crafting,
Basic,Salted Fish,Consumable,
Basic,wood plank,Crafting,
Basic,Bones,Mob Drop,
Basic,Herbal Root,Crafting,
Basic,Stack of Carrots,Consumable,
Basic,flowers,Consumable,
MidTeir,wooden sword,Weapon,
MidTeir,leather armour,Armor,
MidTeir,Salted Meat,Consumable,
MidTeir,Gold,Currency,
MidTeir,Ice,Consumable,
MidTeir,Mana Orb,Crafting,
Royal,Iron Sword,Weapon,
Royal,Enchanted Chestplate,Armor,
Royal,Mysterious Stew,Consumable,
Royal,Herbal Soup,Consumable,
Royal,King's Health Potion,Consumable,
Grand,Katana,Weapon,
Grand,Magic Armor,Armor,
Grand,Elixir of Speed,Consumable,
Grand,Elixir of Wisdom,Consumable,
Grand,Sharpness Axe,Weapon,
Grand,Emerald Shield,Weapon,
Grand,Diamond Sword,Weapon,
Mythical,Siege Hammer,Weapon,
Mythical,Unbreakable blade,Weapon,
Mythical,Pandora's Box,Trinket,
Mythical,Holy Hand Gernade,Weapon,
Mythical,book of jokes,Trinket,
